,Unnamed: 0,Unnamed: 0.1,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,FIPS,Last_Update,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
46,46,46,Montana,US,46.9219,-110.4544,2020-02-01,0.0,0.0,0.0,30.0,,,,,,,,,,
47,47,47,New Mexico,US,34.8405,-106.2485,2020-02-01,0.0,0.0,0.0,35.0,,,,,,,,,,
48,48,48,North Dakota,US,47.5289,-99.784,2020-02-01,0.0,0.0,0.0,38.0,,,,,,,,,,
49,49,49,South Dakota,US,44.2998,-99.4388,2020-02-01,0.0,0.0,0.0,46.0,,,,,,,,,,
50,50,50,West Virginia,US,38.4912,-80.9545,2020-02-01,0.0,0.0,0.0,54.0,,,,,,,,,,
51,51,51,Wyoming,US,42.756,-107.3025,2020-02-01,0.0,0.0,0.0,56.0,,,,,,,,,,
52,52,52,"Kitsap, WA",US,47.6477,-122.6413,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
53,53,53,"Solano, CA",US,38.3105,-121.9018,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
54,54,54,"Santa Cruz, CA",US,37.0454,-121.958,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
55,55,55,"Napa, CA",US,38.5025,-122.2654,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
56,56,56,"Ventura, CA",US,34.3705,-119.1391,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
57,57,57,"Worcester, MA",US,42.4097,-71.8571,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
58,58,58,"Gwinnett, GA",US,33.9191,-84.0167,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
59,59,59,"DeKalb, GA",US,33.7956,-84.2279,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
60,60,60,"Floyd, GA",US,37.5455,-82.7779,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
61,61,61,"Fayette, GA",US,33.4502,-84.4803,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
62,62,62,"Gregg, TX",US,32.4893,-94.8521,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
63,63,63,"Monmouth, NJ",US,40.2589,-74.124,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
64,64,64,"Burlington, NJ",US,40.0712,-74.8649,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
65,65,65,"Camden, NJ",US,39.9259,-75.1196,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
66,66,66,"Passaic, NJ",US,40.8568,-74.1285,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
67,67,67,"Union, NJ",US,40.6976,-74.2632,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
68,68,68,"Eagle, CO",US,39.6553,-106.8287,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
69,69,69,"Larimer, CO",US,40.6956,-105.5943,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
70,70,70,"Arapahoe, CO",US,39.6203,-104.3326,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
71,71,71,"Gunnison, CO",US,38.5458,-106.9253,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
72,72,72,"Kane, IL",US,41.9879,-88.4016,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
